customer_id,product_id,sale_id,date,category,quantity,unit_price,discount,total_amount,payment_method,store_location,month,is_high_value,discount_pct,product_name,base_price,stock,age,city,name
CUS-003653,PROD-0650,SALE-000022,2026-04-10 18:37:26,Hogar,3,809.69,0.0,2429.07,Efectivo,Lima Centro,4,SI,0.0,Hogar Item 650,809.69,230,45,Cusco,Jaime Gimeno Duarte
CUS-006042,PROD-0792,SALE-000023,2026-01-02 10:33:56,Electrohogar,1,2716.9,0.0,2716.9,Tarjeta CMR,Lima Centro,1,SI,0.0,Electrohogar Item 792,2716.9,426,55,Piura,René Barroso Pazos
CUS-002364,PROD-0632,SALE-000024,2026-02-23 11:46:25,Hogar,1,188.69,0.0,188.69,Tarjeta CMR,Miraflores,2,NO,0.0,Hogar Item 632,188.69,462,25,Lima,Yésica Eva Lozano Barrios
CUS-003165,PROD-0645,SALE-000025,2026-03-12 02:49:46,Hogar,1,280.05,0.0,280.05,App Fpay,Miraflores,3,NO,0.0,Hogar Item 645,280.05,239,62,Arequipa,Anita Cordero Benito
CUS-001716,PROD-1000,SALE-000026,2026-03-14 10:12:43,Hogar,4,300.15,0.0,1200.6,App Fpay,Online,3,NO,0.0,Hogar Item 1000,300.15,220,43,Trujillo,Tiburcio Frías
CUS-000826,PROD-0498,SALE-000027,2026-01-03 13:29:46,Calzado,1,410.5,0.0,410.5,Tarjeta CMR,Online,1,NO,0.0,Calzado Item 498,410.5,75,35,Cusco,Elpidio Piñol Duran
CUS-008364,PROD-0641,SALE-000028,2026-02-01 13:00:04,Electrohogar,2,2609.9,0.0,5219.8,Débito,Lima Centro,2,SI,0.0,Electrohogar Item 641,2609.9,457,30,Cusco,Jose Antonio Alfredo Ribas Nuñez
CUS-001141,PROD-0935,SALE-000029,2026-03-19 18:01:14,Moda,1,173.29,0.15,147.3,Débito,Lima Centro,3,NO,15.0,Moda Item 935,173.29,91,46,Trujillo,Sandra Vélez
CUS-006145,PROD-0824,SALE-000030,2026-04-07 03:24:03,Hogar,1,337.64,0.0,337.64,Efectivo,Online,4,NO,0.0,Hogar Item 824,337.64,395,23,Lima,Adriana Valdés Pinedo
CUS-000398,PROD-0153,SALE-000031,2026-03-02 18:45:28,Hogar,1,976.55,0.0,976.55,Efectivo,Online,3,NO,0.0,Hogar Item 153,976.55,459,45,Lima,Alejo Álamo Taboada
CUS-008844,PROD-0876,SALE-000032,2026-05-03 07:45:52,Tecnología,1,2968.76,0.0,2968.76,App Fpay,Online,5,SI,0.0,Tecnología Item 876,2968.76,142,48,Piura,Vera Lamas-Alvarez
CUS-006197,PROD-0157,SALE-000033,2026-05-06 15:37:29,Hogar,1,847.28,0.0,847.28,Débito,Online,5,NO,0.0,Hogar Item 157,847.28,407,49,Cusco,José Zapata Sanabria
CUS-009539,PROD-0638,SALE-000034,2026-04-30 15:53:49,Hogar,1,976.99,0.0,976.99,Débito,Lima Centro,4,NO,0.0,Hogar Item 638,976.99,293,60,Lima,María Cristina Botella Aznar
CUS-009391,PROD-0593,SALE-000035,2026-03-03 07:08:41,Calzado,4,479.27,0.15,1629.52,Débito,Online,3,NO,15.0,Calzado Item 593,479.27,101,36,Arequipa,Casemiro Reyes
CUS-000049,PROD-0774,SALE-000036,2026-02-12 00:54:04,Tecnología,1,2486.52,0.0,2486.52,Efectivo,San Isidro,2,SI,0.0,Tecnología Item 774,2486.52,490,41,Arequipa,Marianela Donaire Correa
CUS-006988,PROD-0847,SALE-000037,2026-02-01 11:41:17,Moda,1,334.35,0.15,284.2,Débito,Miraflores,2,NO,15.0,Moda Item 847,334.35,373,26,Cusco,Adelardo Peiró Peñalver
CUS-008813,PROD-0206,SALE-000038,2026-02-08 03:44:25,Calzado,1,287.71,0.0,287.71,Tarjeta CMR,Lima Centro,2,NO,0.0,Calzado Item 206,287.71,281,68,Trujillo,Ovidio Álvaro Cardona
CUS-001446,PROD-0892,SALE-000039,2026-04-05 10:50:10,Moda,1,96.92,0.15,82.38,App Fpay,Miraflores,4,NO,15.0,Moda Item 892,96.92,440,47,Arequipa,Aristides Amaya Ortiz
CUS-000901,PROD-0448,SALE-000040,2026-04-08 07:02:35,Calzado,1,488.66,0.0,488.66,Débito,Lima Centro,4,NO,0.0,Calzado Item 448,488.66,355,50,Cusco,Jonatan Naranjo Cabrera
CUS-006950,PROD-0996,SALE-000041,2026-03-25 01:24:43,Calzado,1,104.48,0.0,104.48,Débito,San Isidro,3,NO,0.0,Calzado Item 996,104.48,202,27,Trujillo,Tito Vilanova Roman
CUS-003894,PROD-0544,SALE-000042,2026-03-12 01:20:33,Electrohogar,1,3071.68,0.0,3071.68,Tarjeta CMR,San Isidro,3,SI,0.0,Electrohogar Item 544,3071.68,20,66,Trujillo,María Carmen Manzanares Muñoz
CUS-006465,PROD-0049,SALE-000043,2026-01-08 16:59:40,Calzado,1,156.11,0.0,156.11,Débito,Lima Centro,1,NO,0.0,Calzado Item 49,156.11,469,52,Lima,Herberto Ferrández Grande
CUS-000638,PROD-0504,SALE-000044,2026-03-02 00:07:32,Moda,1,38.96,0.0,38.96,Efectivo,Lima Centro,3,NO,0.0,Moda Item 504,38.96,52,25,Trujillo,Andrés Felipe Boix Salazar
CUS-009041,PROD-0807,SALE-000045,2026-03-05 11:18:30,Electrohogar,1,2700.35,0.15,2295.3,Débito,Miraflores,3,SI,15.0,Electrohogar Item 807,2700.35,258,23,Piura,Nicolasa Oliver López
CUS-003474,PROD-0655,SALE-000046,2026-04-29 18:25:39,Moda,1,306.99,0.0,306.99,Débito,San Isidro,4,NO,0.0,Moda Item 655,306.99,196,66,Piura,Roldán del Peral
CUS-009474,PROD-0017,SALE-000047,2026-01-07 08:45:08,Moda,1,145.7,0.15,123.84,Débito,Lima Centro,1,NO,15.0,Moda Item 17,145.7,216,69,Cusco,Eutimio Fortunato Font Atienza
CUS-005431,PROD-0016,SALE-000048,2026-04-27 22:48:20,Hogar,3,381.16,0.0,1143.48,Efectivo,Online,4,NO,0.0,Hogar Item 16,381.16,434,25,Cusco,Marino Sandoval-Cerdán
CUS-009520,PROD-0571,SALE-000049,2026-01-22 20:06:18,Calzado,1,254.79,0.0,254.79,Tarjeta CMR,Miraflores,1,NO,0.0,Calzado Item 571,254.79,414,35,Lima,Toribio Alvarado Muñoz
CUS-005479,PROD-0914,SALE-000050,2026-01-16 18:32:35,Calzado,2,226.87,0.0,453.74,App Fpay,Miraflores,1,NO,0.0,Calzado Item 914,226.87,385,29,Arequipa,Pía Gordillo Lucas
CUS-009083,PROD-0519,SALE-000051,2026-05-05 23:14:53,Tecnología,1,4437.83,0.0,4437.83,App Fpay,Online,5,SI,0.0,Tecnología Item 519,4437.83,146,43,Trujillo,Eli Gloria Anaya Barrio
CUS-000044,PROD-0416,SALE-000052,2026-04-06 00:12:51,Moda,4,303.18,0.15,1030.81,App Fpay,Lima Centro,4,NO,15.0,Moda Item 416,303.18,409,44,Arequipa,Godofredo Alcalá
CUS-005802,PROD-0631,SALE-000053,2026-02-11 03:11:32,Calzado,1,339.14,0.0,339.14,Débito,San Isidro,2,NO,0.0,Calzado Item 631,339.14,402,30,Piura,Coral Benavides Arranz
CUS-008141,PROD-0947,SALE-000054,2026-01-21 22:42:53,Calzado,1,272.23,0.0,272.23,Efectivo,Online,1,NO,0.0,Calzado Item 947,272.23,119,61,Arequipa,Guillermo Ferrero Portillo
CUS-000514,PROD-0173,SALE-000055,2026-02-22 19:54:49,Electrohogar,1,3889.24,0.0,3889.24,App Fpay,Lima Centro,2,SI,0.0,Electrohogar Item 173,3889.24,331,34,Lima,Norberto Carlos Jaén Checa
CUS-002211,PROD-0336,SALE-000056,2026-03-19 15:56:06,Tecnología,2,3768.11,0.0,7536.22,Tarjeta CMR,Miraflores,3,SI,0.0,Tecnología Item 336,3768.11,467,29,Arequipa,Rufina Galan Rivera
CUS-003011,PROD-0048,SALE-000057,2026-04-23 08:11:46,Electrohogar,1,1278.35,0.0,1278.35,Tarjeta CMR,San Isidro,4,NO,0.0,Electrohogar Item 48,1278.35,438,68,Arequipa,Nélida Galan Colomer
CUS-000387,PROD-0988,SALE-000058,2026-01-20 22:49:29,Electrohogar,1,2599.47,0.0,2599.47,Tarjeta CMR,Online,1,SI,0.0,Electrohogar Item 988,2599.47,260,21,Trujillo,Soledad Ugarte Torres
CUS-003938,PROD-0073,SALE-000059,2026-03-21 12:08:21,Tecnología,2,3148.53,0.15,5352.5,Débito,San Isidro,3,SI,15.0,Tecnología Item 73,3148.53,172,43,Lima,Enrique Casanovas Herrero
CUS-000745,PROD-0069,SALE-000060,2026-04-08 02:25:35,Moda,4,248.18,0.0,992.72,Débito,Lima Centro,4,NO,0.0,Moda Item 69,248.18,230,22,Cusco,Abraham Nazario Menendez Caparrós
CUS-003325,PROD-0673,SALE-000061,2026-03-13 07:19:44,Electrohogar,2,2243.45,0.0,4486.9,Tarjeta CMR,Miraflores,3,SI,0.0,Electrohogar Item 673,2243.45,449,46,Trujillo,Sandalio Sacristán Lledó
CUS-008909,PROD-0603,SALE-000062,2026-02-01 05:53:05,Tecnología,3,393.41,0.0,1180.23,App Fpay,Online,2,NO,0.0,Tecnología Item 603,393.41,261,39,Trujillo,Demetrio Antón-Villena
CUS-005320,PROD-0167,SALE-000063,2026-03-09 22:18:35,Electrohogar,2,1067.57,0.15,1814.87,App Fpay,Miraflores,3,NO,15.0,Electrohogar Item 167,1067.57,199,44,Trujillo,Evelia Luque Falcó
CUS-008057,PROD-0678,SALE-000064,2026-03-17 03:37:29,Moda,1,52.34,0.0,52.34,Efectivo,Miraflores,3,NO,0.0,Moda Item 678,52.34,173,42,Cusco,Rufino Pedro Bartolomé Pont
CUS-006168,PROD-0260,SALE-000065,2026-04-13 15:01:43,Tecnología,2,1092.55,0.0,2185.1,Efectivo,San Isidro,4,SI,0.0,Tecnología Item 260,1092.55,417,20,Arequipa,Carmen Cañete Saavedra
CUS-006368,PROD-0796,SALE-000066,2026-03-18 19:29:55,Electrohogar,1,781.52,0.0,781.52,Efectivo,Online,3,NO,0.0,Electrohogar Item 796,781.52,58,61,Trujillo,Clementina Escudero-Arjona
CUS-006173,PROD-0730,SALE-000067,2026-04-21 20:59:16,Moda,1,54.61,0.0,54.61,Efectivo,Lima Centro,4,NO,0.0,Moda Item 730,54.61,372,25,Lima,Carmelita Machado Tejada
CUS-005103,PROD-0961,SALE-000068,2026-04-30 08:24:36,Calzado,1,351.33,0.0,351.33,Efectivo,Miraflores,4,NO,0.0,Calzado Item 961,351.33,208,23,Piura,Ariel del Bolaños
CUS-000281,PROD-0597,SALE-000069,2026-01-24 21:22:59,Hogar,2,1182.7,0.0,2365.4,Débito,San Isidro,1,SI,0.0,Hogar Item 597,1182.7,244,64,Cusco,Tito Faustino Diéguez Cal
CUS-008223,PROD-0307,SALE-000070,2026-02-24 01:18:19,Calzado,2,373.48,0.15,634.92,Efectivo,San Isidro,2,NO,15.0,Calzado Item 307,373.48,197,63,Trujillo,Trini Ugarte Soto
CUS-007669,PROD-0864,SALE-000071,2026-04-01 22:03:32,Electrohogar,2,2459.83,0.15,4181.71,App Fpay,Miraflores,4,SI,15.0,Electrohogar Item 864,2459.83,234,67,Trujillo,Jessica Salazar-Botella
CUS-002534,PROD-0821,SALE-000072,2026-02-08 18:38:47,Moda,1,196.54,0.0,196.54,Débito,Lima Centro,2,NO,0.0,Moda Item 821,196.54,181,44,Piura,Adora Blazquez Pardo
CUS-004757,PROD-0542,SALE-000073,2026-01-05 18:18:26,Hogar,1,1034.2,0.0,1034.2,Efectivo,Lima Centro,1,NO,0.0,Hogar Item 542,1034.2,41,55,Piura,Ema Carbonell-Vicente
CUS-006172,PROD-0591,SALE-000074,2026-03-14 16:52:38,Electrohogar,1,2458.17,0.0,2458.17,Débito,Online,3,SI,0.0,Electrohogar Item 591,2458.17,393,27,Trujillo,Loreto Clara Rocamora Palomino
CUS-001960,PROD-0064,SALE-000075,2026-04-10 23:25:06,Tecnología,2,2756.84,0.15,4686.63,Efectivo,Lima Centro,4,SI,15.0,Tecnología Item 64,2756.84,490,38,Piura,María Teresa Palomino Requena
CUS-006034,PROD-0571,SALE-000076,2026-03-19 19:50:12,Calzado,1,254.79,0.0,254.79,App Fpay,San Isidro,3,NO,0.0,Calzado Item 571,254.79,414,44,Cusco,Roberta Cabo Paz
CUS-006603,PROD-0431,SALE-000077,2026-03-20 22:14:37,Electrohogar,1,3074.58,0.0,3074.58,Débito,Miraflores,3,SI,0.0,Electrohogar Item 431,3074.58,423,19,Lima,Jaime del Angulo
CUS-000372,PROD-0860,SALE-000078,2026-05-10 19:09:57,Calzado,1,358.0,0.0,358.0,Efectivo,San Isidro,5,NO,0.0,Calzado Item 860,358.0,425,41,Lima,Juana Barón Cerdá
CUS-009477,PROD-0721,SALE-000079,2026-01-09 00:00:19,Hogar,2,911.77,0.15,1550.01,Tarjeta CMR,Online,1,NO,15.0,Hogar Item 721,911.77,307,67,Trujillo,Leyre Galán Valera
CUS-007988,PROD-0473,SALE-000080,2026-01-30 08:23:57,Moda,1,280.13,0.15,238.11,Débito,Online,1,NO,15.0,Moda Item 473,280.13,5,45,Trujillo,Julián Solera
CUS-002283,PROD-0192,SALE-000081,2026-04-27 01:11:46,Tecnología,1,1344.72,0.0,1344.72,App Fpay,San Isidro,4,NO,0.0,Tecnología Item 192,1344.72,221,38,Cusco,Geraldo Estévez Cañellas
CUS-000396,PROD-0405,SALE-000082,2026-02-20 09:00:37,Calzado,1,593.1,0.0,593.1,Efectivo,Lima Centro,2,NO,0.0,Calzado Item 405,593.1,325,31,Lima,Mohamed de Lobo
CUS-000494,PROD-0841,SALE-000083,2026-05-03 15:27:24,Moda,1,53.09,0.0,53.09,App Fpay,Online,5,NO,0.0,Moda Item 841,53.09,220,45,Lima,Evelia Pedraza Aranda
CUS-001404,PROD-0724,SALE-000084,2026-05-10 05:08:21,Electrohogar,2,4010.39,0.0,8020.78,Tarjeta CMR,Lima Centro,5,SI,0.0,Electrohogar Item 724,4010.39,235,59,Cusco,Moreno Luis Ángel Rocamora Parra
CUS-000937,PROD-0599,SALE-000085,2026-04-23 17:23:09,Electrohogar,4,4085.62,0.0,16342.48,Débito,Miraflores,4,SI,0.0,Electrohogar Item 599,4085.62,494,57,Arequipa,Patricia Marisa Moll Piña
CUS-000485,PROD-0950,SALE-000086,2026-03-13 22:37:57,Calzado,3,219.79,0.0,659.37,Efectivo,San Isidro,3,NO,0.0,Calzado Item 950,219.79,338,47,Lima,Georgina Múñiz-Fuentes
CUS-009685,PROD-0733,SALE-000087,2026-02-08 09:52:27,Tecnología,1,4093.99,0.0,4093.99,Tarjeta CMR,Online,2,SI,0.0,Tecnología Item 733,4093.99,87,52,Arequipa,Toribio Balaguer-Aparicio
CUS-005921,PROD-0317,SALE-000088,2026-03-04 11:41:42,Calzado,1,439.04,0.0,439.04,App Fpay,San Isidro,3,NO,0.0,Calzado Item 317,439.04,204,59,Lima,Ildefonso Bertrán Prado
CUS-007122,PROD-0713,SALE-000089,2026-02-15 22:53:10,Moda,4,138.31,0.15,470.25,Efectivo,Online,2,NO,15.0,Moda Item 713,138.31,145,46,Piura,Yéssica del Criado
CUS-000480,PROD-0108,SALE-000090,2026-02-12 13:02:12,Electrohogar,2,2146.57,0.0,4293.14,Efectivo,Online,2,SI,0.0,Electrohogar Item 108,2146.57,459,54,Trujillo,Asdrubal Quevedo Canales
CUS-003144,PROD-0987,SALE-000091,2026-01-31 17:14:11,Moda,1,209.43,0.0,209.43,Débito,Miraflores,1,NO,0.0,Moda Item 987,209.43,468,37,Trujillo,Ciro del Guitart
CUS-008067,PROD-0495,SALE-000092,2026-04-29 06:28:18,Hogar,2,210.51,0.0,421.02,Débito,Miraflores,4,NO,0.0,Hogar Item 495,210.51,203,50,Piura,Ainoa Calatayud-Guardia
CUS-002809,PROD-0685,SALE-000093,2026-02-18 18:23:52,Electrohogar,1,1125.96,0.0,1125.96,Tarjeta CMR,Lima Centro,2,NO,0.0,Electrohogar Item 685,1125.96,181,21,Piura,Concepción Gabaldón Parejo
CUS-001840,PROD-0119,SALE-000094,2026-02-08 13:13:08,Hogar,3,822.46,0.0,2467.38,App Fpay,Lima Centro,2,SI,0.0,Hogar Item 119,822.46,472,42,Trujillo,Cecilia Abascal Otero
CUS-008378,PROD-0494,SALE-000095,2026-02-11 14:20:25,Calzado,1,242.05,0.0,242.05,App Fpay,San Isidro,2,NO,0.0,Calzado Item 494,242.05,136,35,Trujillo,Hilario Diaz Sierra
CUS-004582,PROD-0291,SALE-000096,2026-04-06 16:29:11,Calzado,2,95.86,0.15,162.96,Tarjeta CMR,Online,4,NO,15.0,Calzado Item 291,95.86,497,43,Trujillo,Eli Lucas Borrego
CUS-006704,PROD-0742,SALE-000097,2026-04-10 19:49:34,Tecnología,1,1336.46,0.0,1336.46,App Fpay,Online,4,NO,0.0,Tecnología Item 742,1336.46,6,29,Cusco,Alexandra Esteve Gómez
CUS-005160,PROD-0558,SALE-000098,2026-01-11 14:31:34,Electrohogar,1,2086.17,0.15,1773.24,App Fpay,Online,1,NO,15.0,Electrohogar Item 558,2086.17,434,47,Lima,Felisa Velázquez Salas
CUS-007612,PROD-0700,SALE-000099,2026-01-30 20:27:33,Electrohogar,1,1656.46,0.0,1656.46,Tarjeta CMR,San Isidro,1,NO,0.0,Electrohogar Item 700,1656.46,6,32,Trujillo,Santos Pinto Giménez
CUS-004074,PROD-0853,SALE-000100,2026-02-25 11:11:02,Moda,3,53.94,0.0,161.82,Efectivo,Online,2,NO,0.0,Moda Item 853,53.94,443,22,Arequipa,Otilia López Aguirre
CUS-001362,PROD-0735,SALE-000101,2026-01-24 15:56:25,Hogar,1,1064.63,0.0,1064.63,Débito,San Isidro,1,NO,0.0,Hogar Item 735,1064.63,209,60,Piura,Pánfilo Gallardo Ocaña
CUS-004300,PROD-0563,SALE-000102,2026-02-18 10:05:53,Moda,1,205.52,0.0,205.52,Efectivo,San Isidro,2,NO,0.0,Moda Item 563,205.52,438,60,Cusco,Néstor Ildefonso Escamilla Márquez
CUS-004302,PROD-0865,SALE-000103,2026-03-09 07:33:43,Hogar,1,1044.59,0.0,1044.59,App Fpay,Online,3,NO,0.0,Hogar Item 865,1044.59,331,23,Trujillo,Jonatan Morales Gelabert
CUS-001653,PROD-0201,SALE-000104,2026-04-20 03:23:14,Electrohogar,1,1780.14,0.0,1780.14,Débito,San Isidro,4,NO,0.0,Electrohogar Item 201,1780.14,430,46,Cusco,Teobaldo Basilio Coello Toro
CUS-007810,PROD-0586,SALE-000105,2026-04-24 02:08:39,Electrohogar,1,2972.52,0.0,2972.52,Efectivo,Online,4,SI,0.0,Electrohogar Item 586,2972.52,206,24,Piura,Lina Ferrando Cabanillas
CUS-001773,PROD-0123,SALE-000106,2026-04-02 07:34:21,Moda,1,121.95,0.0,121.95,App Fpay,Miraflores,4,NO,0.0,Moda Item 123,121.95,490,19,Cusco,Teófilo Cifuentes Bastida
CUS-003239,PROD-0076,SALE-000107,2026-01-20 07:12:51,Tecnología,1,4601.17,0.0,4601.17,App Fpay,Miraflores,1,SI,0.0,Tecnología Item 76,4601.17,88,65,Piura,Rosendo Bonifacio Barco Redondo
CUS-009246,PROD-0039,SALE-000108,2026-04-07 13:26:19,Calzado,1,345.86,0.15,293.98,Tarjeta CMR,Miraflores,4,NO,15.0,Calzado Item 39,345.86,423,60,Piura,Manolo Marí
CUS-003807,PROD-0079,SALE-000109,2026-04-28 19:12:59,Tecnología,1,3490.12,0.0,3490.12,Tarjeta CMR,Online,4,SI,0.0,Tecnología Item 79,3490.12,347,23,Arequipa,Saturnina Fortunata Tormo Perales
CUS-003846,PROD-0492,SALE-000110,2026-04-19 18:50:03,Hogar,2,816.55,0.15,1388.13,App Fpay,Miraflores,4,NO,15.0,Hogar Item 492,816.55,406,43,Piura,Julie de Blasco
CUS-002706,PROD-0432,SALE-000111,2026-03-17 17:42:15,Tecnología,1,6144.41,0.0,6144.41,Débito,San Isidro,3,SI,0.0,Tecnología Item 432,6144.41,283,51,Lima,Aitor Lladó
CUS-000208,PROD-0140,SALE-000112,2026-05-07 00:18:42,Moda,3,73.51,0.0,220.53,Débito,Online,5,NO,0.0,Moda Item 140,73.51,320,24,Trujillo,Rafael Germán Puig Agustí
CUS-000998,PROD-0184,SALE-000113,2026-03-03 13:29:13,Electrohogar,1,2024.79,0.0,2024.79,Débito,Lima Centro,3,SI,0.0,Electrohogar Item 184,2024.79,315,50,Trujillo,Olegario Escudero Llano
CUS-001168,PROD-0746,SALE-000114,2026-04-27 21:28:45,Tecnología,1,6926.63,0.0,6926.63,Tarjeta CMR,Miraflores,4,SI,0.0,Tecnología Item 746,6926.63,264,33,Arequipa,Nydia Clemente-Simó
CUS-000344,PROD-0618,SALE-000115,2026-03-14 01:49:14,Tecnología,1,1585.71,0.15,1347.85,App Fpay,San Isidro,3,NO,15.0,Tecnología Item 618,1585.71,434,58,Piura,César Barco
CUS-009821,PROD-0417,SALE-000116,2026-02-04 02:51:51,Tecnología,1,4002.65,0.0,4002.65,App Fpay,Lima Centro,2,SI,0.0,Tecnología Item 417,4002.65,193,70,Arequipa,Vilma Serra Portero
CUS-005935,PROD-0220,SALE-000117,2026-04-04 02:27:33,Tecnología,1,5577.06,0.0,5577.06,Tarjeta CMR,Online,4,SI,0.0,Tecnología Item 220,5577.06,263,59,Trujillo,Leonel Rivas Mayoral
CUS-003907,PROD-0695,SALE-000118,2026-02-23 09:42:32,Tecnología,1,1456.48,0.0,1456.48,Débito,Miraflores,2,NO,0.0,Tecnología Item 695,1456.48,482,21,Arequipa,Mohamed Ortuño González
CUS-003482,PROD-0030,SALE-000119,2026-04-15 06:06:26,Calzado,2,430.64,0.15,732.09,Efectivo,Online,4,NO,15.0,Calzado Item 30,430.64,365,45,Lima,Gregorio Cañizares Gómez
CUS-008996,PROD-0153,SALE-000120,2026-03-28 04:17:05,Hogar,1,976.55,0.0,976.55,Tarjeta CMR,Lima Centro,3,NO,0.0,Hogar Item 153,976.55,459,56,Arequipa,Emperatriz Cueto
CUS-004002,PROD-0259,SALE-000121,2026-02-08 15:45:08,Hogar,2,850.21,0.0,1700.42,Tarjeta CMR,Online,2,NO,0.0,Hogar Item 259,850.21,78,52,Cusco,Luisa Buendía Moliner
CUS-009849,PROD-0965,SALE-000122,2026-02-17 06:40:44,Calzado,1,291.11,0.15,247.44,App Fpay,Miraflores,2,NO,15.0,Calzado Item 965,291.11,74,59,Lima,Alejo Vicens Murillo
CUS-003115,PROD-0866,SALE-000123,2026-03-14 02:18:31,Moda,1,130.59,0.0,130.59,Tarjeta CMR,Miraflores,3,NO,0.0,Moda Item 866,130.59,173,57,Piura,Faustino Eduardo Oller Valentín
CUS-008639,PROD-0055,SALE-000124,2026-05-11 02:03:46,Moda,3,78.68,0.15,200.63,App Fpay,Lima Centro,5,NO,15.0,Moda Item 55,78.68,160,52,Trujillo,Américo Valbuena Huerta
